	Name	Database_ID	chromosome	start_bp	end_bp	p_arm_max	arm
10940	OR2T4	ENSG00000196944.3	1	248361665	248362627	123400000	q
10941	OR2T5	ENSG00000203661.3	1	248488589	248491113	123400000	q
10942	OR2T6	ENSG00000198104.2	1	248375746	248391811	123400000	q
10943	OR2T7	ENSG00000227152.5	1	248436359	248444316	123400000	q
10944	OR2T8	ENSG00000177462.6	1	247920252	247923152	123400000	q
10945	OR2V1	ENSG00000185372.2	5	181123122	181131169	48800000	q
10946	OR2V2	ENSG00000182613.1	5	181147586	181159285	48800000	q
10947	OR2W1	ENSG00000204704.2	6	29044213	29045175	59800000	p
10948	OR2W3	ENSG00000238243.3	1	247895587	247896531	123400000	q
10949	OR2Y1	ENSG00000174339.2	5	180739123	180740058	48800000	q
10950	OR2Z1	ENSG00000181733.2	19	8721634	8732160	26200000	p
10951	OR3A1	ENSG00000180090.4	17	3291017	3298360	25100000	p
10952	OR3A2	ENSG00000221882.2	17	3276942	3386317	25100000	p
10953	OR3A3	ENSG00000159961.1	17	3411370	3424070	25100000	p
10954	OR4A15	ENSG00000181958.3	11	55367974	55368918	53400000	q
10955	OR4A16	ENSG00000181961.3	11	55343201	55344187	53400000	q
10956	OR4A47	ENSG00000237388.2	11	48488793	48489722	53400000	p
10957	OR4A5	ENSG00000221840.3	11	54706832	54707902	53400000	q
10958	OR4B1	ENSG00000175619.2	11	48216810	48217739	53400000	p
10959	OR4C11	ENSG00000172188.4	11	55602360	55607645	53400000	q
10960	OR4C12	ENSG00000221954.2	11	49981473	49982535	53400000	p
10961	OR4C13	ENSG00000258817.1	11	49952391	49953419	53400000	p
10962	OR4C15	ENSG00000181939.2	11	55554307	55555419	53400000	q
10963	OR4C16	ENSG00000279514.1	11	55572128	55573060	53400000	q
10964	OR4C3	ENSG00000176547.8	11	48324920	48328471	53400000	p
10965	OR4C46	ENSG00000185926.1	11	54603069	54603998	53400000	q
10966	OR4C5	ENSG00000176540.3	11	48365485	48366465	53400000	p
10967	OR4C6	ENSG00000181903.4	11	55662201	55666096	53400000	q
10968	OR4D1	ENSG00000141194.5	17	58148384	58159585	25100000	q
10969	OR4D10	ENSG00000254466.1	11	59473315	59479361	53400000	q
10970	OR4D11	ENSG00000176200.1	11	59503576	59504511	53400000	q
10971	OR4D2	ENSG00000255713.1	17	58166982	58171411	25100000	q
10972	OR4D5	ENSG00000171014.2	11	123939617	123940573	53400000	q
10973	OR4D6	ENSG00000166884.2	11	59456961	59457905	53400000	q
10974	OR4D9	ENSG00000172742.4	11	59511368	59520703	53400000	q
10975	OR4E2	ENSG00000221977.1	14	21653835	21667642	17200000	q
10976	OR4F15	ENSG00000182854.6	15	101812202	101820197	19000000	q
10977	OR4F17	ENSG00000176695.6	19	107104	117102	26200000	p
10978	OR4F21	ENSG00000176269.3	8	166086	167024	45200000	p
10979	OR4F4	ENSG00000177693.3	15	101922042	101923113	19000000	q
10980	OR4F5	ENSG00000186092.4	1	65419	71585	123400000	p
10981	OR4F6	ENSG00000184140.5	15	101803509	101806887	19000000	q
10982	OR4K1	ENSG00000155249.4	14	19930917	19936757	17200000	q
10983	OR4K13	ENSG00000176253.2	14	20029399	20036038	17200000	q
10984	OR4K14	ENSG00000169484.2	14	20014143	20019307	17200000	q
10985	OR4K15	ENSG00000169488.5	14	19975591	19976565	17200000	q
10986	OR4K17	ENSG00000176230.4	14	20110739	20122199	17200000	q
10987	OR4K2	ENSG00000165762.2	14	19875142	19883932	17200000	q
10988	OR4K5	ENSG00000176281.4	14	19920607	19921578	17200000	q
10989	OR4L1	ENSG00000176246.1	14	20060045	20060983	17200000	q
10990	OR4M1	ENSG00000176299.4	14	19773504	19783696	17200000	q
10991	OR4M2	ENSG00000182974.3	15	21637909	21638992	19000000	q
10992	OR4M2	ENSG00000274102.1	15	22070241	22083221	19000000	q
10993	OR4N2	ENSG00000176294.4	14	19719015	19830253	17200000	q
10994	OR4N4	ENSG00000183706.4	15	22094522	22095472	19000000	q
10995	OR4N5	ENSG00000184394.1	14	20138820	20145471	17200000	q
10996	OR4P4	ENSG00000181927.2	11	55635113	55640309	53400000	q
10997	OR4Q3	ENSG00000182652.1	14	19743571	19749469	17200000	q
10998	OR4S1	ENSG00000176555.1	11	48306223	48307152	53400000	p
10999	OR4S2	ENSG00000174982.2	11	55648327	55652854	53400000	q
11000	OR4X1	ENSG00000176567.1	11	48263861	48264778	53400000	p
11001	OR4X2	ENSG00000172208.5	11	48245104	48246015	53400000	p
11002	OR51A2	ENSG00000205496.1	11	4954772	4955713	53400000	p
11003	OR51A4	ENSG00000205497.3	11	4942831	4947605	53400000	p
11004	OR51A7	ENSG00000176895.8	11	4903783	4909462	53400000	p
11005	OR51B2	ENSG00000279012.1	11	5323359	5324297	53400000	p
11006	OR51B4	ENSG00000183251.3	11	5301014	5301946	53400000	p
11007	OR51B6	ENSG00000176239.7	11	5351508	5352446	53400000	p
11008	OR51D1	ENSG00000197428.2	11	4637477	4643060	53400000	p
11009	OR51E1	ENSG00000180785.8	11	4643420	4655488	53400000	p
11010	OR51E2	ENSG00000167332.7	11	4680171	4697854	53400000	p
11011	OR51F1	ENSG00000280021.1	11	4768979	4769917	53400000	p
11012	OR51F2	ENSG00000176925.6	11	4821321	4822456	53400000	p
11013	OR51G1	ENSG00000278870.1	11	4923374	4924339	53400000	p
11014	OR51G2	ENSG00000176893.4	11	4912588	4919350	53400000	p
11015	OR51H1	ENSG00000176904.1	11	4859610	4863652	53400000	p
11016	OR51I1	ENSG00000167359.8	11	5440570	5441514	53400000	p
11017	OR51I2	ENSG00000187918.4	11	5449323	5456518	53400000	p
11018	OR51J1	ENSG00000184321.1	11	5402597	5403547	53400000	p
11019	OR51L1	ENSG00000176798.1	11	4994851	5005536	53400000	p
11020	OR51M1	ENSG00000184698.4	11	5383812	5393263	53400000	p
11021	OR51Q1	ENSG00000167360.4	11	5422111	5423206	53400000	p
11022	OR51S1	ENSG00000176922.3	11	4848237	4849208	53400000	p
11023	OR51T1	ENSG00000176900.2	11	4881819	4882883	53400000	p
11024	OR51V1	ENSG00000176742.1	11	5199735	5200682	53400000	p
11025	OR52A1	ENSG00000182070.4	11	5146824	5154757	53400000	p
11026	OR52A5	ENSG00000171944.1	11	5128776	5138356	53400000	p
11027	OR52B2	ENSG00000255307.1	11	6169355	6170326	53400000	p
11028	OR52B4	ENSG00000221996.4	11	4367263	4368386	53400000	p
11029	OR52B6	ENSG00000187747.2	11	5580877	5581884	53400000	p
11030	OR52D1	ENSG00000181609.5	11	5488685	5489749	53400000	p
11031	OR52E2	ENSG00000176787.2	11	5058650	5059627	53400000	p
11032	OR52E4	ENSG00000180974.3	11	5880629	5887079	53400000	p
11033	OR52E5	ENSG00000277932.1	11	5893208	5902730	53400000	p
11034	OR52E6	ENSG00000205409.3	11	5840928	5841952	53400000	p
11035	OR52E8	ENSG00000183269.5	11	5856674	5857734	53400000	p
11036	OR52H1	ENSG00000181616.8	11	5544489	5548540	53400000	p
11037	OR52I1	ENSG00000232268.5	11	4593750	4595013	53400000	p
11038	OR52I2	ENSG00000226288.1	11	4581743	4593340	53400000	p
11039	OR52J3	ENSG00000205495.1	11	5046526	5047461	53400000	p
11040	OR52K1	ENSG00000196778.2	11	4482646	4493497	53400000	p
11041	OR52K2	ENSG00000181963.5	11	4449295	4450361	53400000	p
11042	OR52L1	ENSG00000183313.4	11	5985892	5986985	53400000	p
11043	OR52M1	ENSG00000197790.1	11	4545191	4546144	53400000	p
11044	OR52N1	ENSG00000181001.1	11	5786471	5791265	53400000	p
11045	OR52N2	ENSG00000180988.2	11	5808924	5821483	53400000	p
11046	OR52N4	ENSG00000181074.3	11	5754243	5755958	53400000	p
11047	OR52N5	ENSG00000181009.4	11	5776165	5783355	53400000	p
11048	OR52R1	ENSG00000279270.1	11	4803433	4804380	53400000	p
11049	OR52W1	ENSG00000175485.2	11	6199224	6200186	53400000	p
11050	OR56A1	ENSG00000180934.5	11	6019336	6034338	53400000	p
11051	OR56A3	ENSG00000184478.6	11	5938751	5951347	53400000	p
11052	OR56A4	ENSG00000183389.4	11	5999445	6006946	53400000	p
11053	OR56A5	ENSG00000188691.5	11	5967177	5968494	53400000	p
11054	OR56B1	ENSG00000181023.6	11	5736448	5738523	53400000	p
11055	OR56B4	ENSG00000180919.3	11	6107684	6108835	53400000	p
11056	OR5A1	ENSG00000172320.2	11	59436469	59451380	53400000	q
11057	OR5A2	ENSG00000172324.4	11	59416969	59426413	53400000	q
11058	OR5AC2	ENSG00000196578.4	3	98087173	98088102	90900000	q
11059	OR5AK2	ENSG00000181273.2	11	56988914	56989843	53400000	q
11060	OR5AN1	ENSG00000176495.2	11	59358895	59371714	53400000	q
11061	OR5AP2	ENSG00000172464.2	11	56641489	56642439	53400000	q
11062	OR5AR1	ENSG00000172459.3	11	56663686	56664618	53400000	q
11063	OR5AS1	ENSG00000181785.1	11	56027654	56038191	53400000	q
11064	OR5AU1	ENSG00000169327.4	14	21148370	21159060	17200000	q
11065	OR5B12	ENSG00000172362.2	11	58439077	58442758	53400000	q
11066	OR5B17	ENSG00000197786.3	11	58358124	58359069	53400000	q
11067	OR5B2	ENSG00000172365.2	11	58421238	58428121	53400000	q
11068	OR5B21	ENSG00000198283.2	11	58506807	58508105	53400000	q
11069	OR5B3	ENSG00000172769.2	11	58402464	58406874	53400000	q
11070	OR5C1	ENSG00000148215.4	9	122788933	122789895	43000000	q
11071	OR5D13	ENSG00000279761.1	11	55773438	55774382	53400000	q
11072	OR5D14	ENSG00000186113.1	11	55795556	55796500	53400000	q
11073	OR5D16	ENSG00000205029.1	11	55838752	55839738	53400000	q
11074	OR5D18	ENSG00000186119.7	11	55819630	55820571	53400000	q
11075	OR5F1	ENSG00000149133.1	11	55993681	55994625	53400000	q
11076	OR5H1	ENSG00000231192.1	3	98130721	98138548	90900000	q
11077	OR5H14	ENSG00000236032.2	3	98147479	98156614	90900000	q
11078	OR5H15	ENSG00000233412.3	3	98166696	98169774	90900000	q
11079	OR5H2	ENSG00000197938.4	3	98282505	98284070	90900000	q
11080	OR5H6	ENSG00000230301.4	3	98263252	98265356	90900000	q
11081	OR5I1	ENSG00000167825.3	11	55935456	55936400	53400000	q
11082	OR5J2	ENSG00000174957.1	11	56176618	56177556	53400000	q
11083	OR5K1	ENSG00000232382.1	3	98463201	98472924	90900000	q
11084	OR5K2	ENSG00000231861.2	3	98497681	98498631	90900000	q
11085	OR5K3	ENSG00000206536.1	3	98390666	98391631	90900000	q
11086	OR5K4	ENSG00000196098.2	3	98353854	98354819	90900000	q
11087	OR5L1	ENSG00000279395.1	11	55811367	55812476	53400000	q
11088	OR5L2	ENSG00000205030.1	11	55827219	55828154	53400000	q
11089	OR5M1	ENSG00000255012.1	11	56609236	56614874	53400000	q
11090	OR5M10	ENSG00000254834.3	11	56576774	56577721	53400000	q
11091	OR5M11	ENSG00000255223.3	11	56542340	56543257	53400000	q
11092	OR5M3	ENSG00000174937.3	11	56469274	56473352	53400000	q
11093	OR5M8	ENSG00000181371.3	11	56490435	56491370	53400000	q
11094	OR5M9	ENSG00000150269.1	11	56462469	56463401	53400000	q
11095	OR5P2	ENSG00000183303.2	11	7795974	7796942	53400000	p
11096	OR5P3	ENSG00000182334.1	11	7824818	7830840	53400000	p
11097	OR5R1	ENSG00000279961.1	11	56417258	56418232	53400000	q
11098	OR5T1	ENSG00000181698.3	11	56274154	56276819	53400000	q
11099	OR5T2	ENSG00000181718.5	11	56231282	56234255	53400000	q
11100	OR5T3	ENSG00000172489.5	11	56252254	56253222	53400000	q
11101	OR5V1	ENSG00000243729.3	6	29353749	29431967	59800000	p
11102	OR5W2	ENSG00000187612.1	11	55913650	55914582	53400000	q
11103	OR6A2	ENSG00000184933.4	11	6791736	6799689	53400000	p
11104	OR6B1	ENSG00000221813.3	7	144000320	144008793	60100000	q
11105	OR6B2	ENSG00000182083.7	2	240029491	240030429	93900000	q
11106	OR6B3	ENSG00000178586.4	2	240045077	240047027	93900000	q
11107	OR6C1	ENSG00000205330.3	12	55314343	55322364	35500000	q
11108	OR6C2	ENSG00000179695.1	12	55444069	55453347	35500000	q
11109	OR6C3	ENSG00000205329.1	12	55330043	55332687	35500000	q
11110	OR6C4	ENSG00000179626.3	12	55549602	55555832	35500000	q
11111	OR6C6	ENSG00000188324.3	12	55293988	55296569	35500000	q
11112	OR6C65	ENSG00000205328.2	12	55400529	55401467	35500000	q
11113	OR6C68	ENSG00000205327.3	12	55492378	55493316	35500000	q
11114	OR6C70	ENSG00000184954.4	12	55469200	55470138	35500000	q
11115	OR6C74	ENSG00000197706.3	12	55247288	55248226	35500000	q
11116	OR6C75	ENSG00000187857.3	12	55362975	55369279	35500000	q
11117	OR6C76	ENSG00000185821.3	12	55426254	55427192	35500000	q
11118	OR6F1	ENSG00000169214.3	1	247711436	247716646	123400000	q
11119	OR6J1	ENSG00000255804.1	14	22630929	22644352	17200000	q
11120	OR6K2	ENSG00000196171.3	1	158699678	158700652	123400000	q
11121	OR6K3	ENSG00000203757.1	1	158716327	158720720	123400000	q
11122	OR6K6	ENSG00000180433.4	1	158754720	158755891	123400000	q
11123	OR6M1	ENSG00000196099.4	11	123805408	123806349	53400000	q
11124	OR6N1	ENSG00000197403.3	1	158747814	158772195	123400000	q
11125	OR6N2	ENSG00000188340.1	1	158774222	158781204	123400000	q
11126	OR6P1	ENSG00000186440.1	1	158560606	158570580	123400000	q
11127	OR6Q1	ENSG00000279051.2	11	58030953	58031906	53400000	q
11128	OR6S1	ENSG00000181803.3	14	20640696	20641691	17200000	q
11129	OR6T1	ENSG00000181499.2	11	123942867	123943838	53400000	q
11130	OR6V1	ENSG00000225781.1	7	143052341	143053282	60100000	q
11131	OR6X1	ENSG00000221931.2	11	123753580	123754518	53400000	q
11132	OR6Y1	ENSG00000197532.1	1	158544550	158554405	123400000	q
11133	OR7A10	ENSG00000127515.1	19	14840466	14848922	26200000	p
11134	OR7A17	ENSG00000185385.3	19	14878203	14886132	26200000	p
11135	OR7A5	ENSG00000188269.7	19	14826241	14835185	26200000	p
11136	OR7C1	ENSG00000127530.2	19	14789260	14835376	26200000	p
11137	OR7C2	ENSG00000127529.7	19	14941489	14942448	26200000	p
11138	OR7D2	ENSG00000188000.3	19	9178979	9188818	26200000	p
11139	OR7D4	ENSG00000174667.3	19	9210276	9219589	26200000	p
11140	OR7E24	ENSG00000237521.2	19	9247344	9252625	26200000	p
11141	OR7G1	ENSG00000161807.3	19	9114828	9115763	26200000	p
11142	OR7G2	ENSG00000170923.2	19	9100407	9107475	26200000	p
11143	OR7G3	ENSG00000170920.2	19	9126012	9126950	26200000	p
11144	OR8A1	ENSG00000196119.6	11	124566660	124582942	53400000	q
11145	OR8B12	ENSG00000170953.2	11	124539635	124545333	53400000	q
11146	OR8B4	ENSG00000280090.1	11	124423942	124424871	53400000	q
11147	OR8B8	ENSG00000197125.2	11	124437445	124445696	53400000	q
11148	OR8D1	ENSG00000196341.2	11	124302831	124315099	53400000	q
11149	OR8D2	ENSG00000279116.1	11	124319262	124320197	53400000	q
11150	OR8D4	ENSG00000181518.3	11	123902167	123909229	53400000	q
11151	OR8G1	ENSG00000197849.5	11	124241095	124254364	53400000	q
11152	OR8G5	ENSG00000255298.2	11	124256376	124266224	53400000	q
11153	OR8H1	ENSG00000181693.7	11	56288462	56292254	53400000	q
11154	OR8H2	ENSG00000181767.2	11	56103687	56107658	53400000	q
11155	OR8H3	ENSG00000181761.5	11	56122373	56123311	53400000	q
11156	OR8I2	ENSG00000172154.7	11	56093308	56094240	53400000	q
11157	OR8J1	ENSG00000172487.3	11	56354291	56361511	53400000	q
11158	OR8J3	ENSG00000167822.1	11	56134721	56140201	53400000	q
11159	OR8K1	ENSG00000150261.3	11	56346039	56346998	53400000	q
11160	OR8K3	ENSG00000280314.1	11	56315144	56320639	53400000	q
11161	OR8K5	ENSG00000181752.3	11	56159394	56160317	53400000	q
11162	OR8S1	ENSG00000197376.2	12	48507354	48529897	35500000	q
11163	OR8U1	ENSG00000172199.1	11	56375624	56376553	53400000	q
11164	OR9A2	ENSG00000179468.5	7	143026200	143027132	60100000	q
11165	OR9A4	ENSG00000258083.1	7	141916399	141920625	60100000	q
11166	OR9G1	ENSG00000174914.1	11	56699095	56703884	53400000	q
11167	OR9G4	ENSG00000172457.5	11	56741223	56748697	53400000	q
11168	OR9I1	ENSG00000172377.1	11	58116742	58125530	53400000	q
11169	OR9K2	ENSG00000170605.5	12	55126406	55132750	35500000	q
11170	OR9Q1	ENSG00000186509.4	11	58023881	58181616	53400000	q
11171	OR9Q2	ENSG00000186513.2	11	58189070	58194053	53400000	q
11172	ORAI1	ENSG00000276045.1	12	121626550	121642677	35500000	q
11173	ORAI2	ENSG00000160991.14	7	102433106	102456825	60100000	q
11174	ORAI3	ENSG00000175938.6	16	30949068	30956461	36800000	p
11175	ORAOV1	ENSG00000149716.11	11	69653076	69675416	53400000	q
11176	ORC1	ENSG00000085840.11	1	52372829	52404423	123400000	p
11177	ORC2	ENSG00000115942.7	2	200908977	200963680	93900000	q
11178	ORC3	ENSG00000135336.13	6	87590067	87667453	59800000	q
11179	ORC4	ENSG00000115947.12	2	147930396	148021604	93900000	q
11180	ORC5	ENSG00000164815.9	7	104126341	104208047	60100000	q
11181	ORC6	ENSG00000091651.7	16	46689643	46698394	36800000	q
11182	ORM1	ENSG00000229314.5	9	114323098	114326479	43000000	q
11183	ORM2	ENSG00000228278.3	9	114329869	114333251	43000000	q
11184	ORMDL1	ENSG00000128699.12	2	189770267	189784364	93900000	q
11185	ORMDL2	ENSG00000123353.8	12	55818041	55821879	35500000	q
11186	ORMDL3	ENSG00000172057.8	17	39921041	39927601	25100000	q
11187	OS9	ENSG00000135506.14	12	57693955	57721557	35500000	q
11188	OSBP	ENSG00000110048.10	11	59574398	59615774	53400000	q
11189	OSBP2	ENSG00000184792.14	22	30693782	30907824	15000000	q
11190	OSBPL10	ENSG00000144645.12	3	31657912	32077580	90900000	p
11191	OSBPL11	ENSG00000144909.7	3	125528858	125595497	90900000	q
11192	OSBPL1A	ENSG00000141447.15	18	24162045	24397880	18500000	q
11193	OSBPL2	ENSG00000130703.14	20	62231922	62296213	28100000	q
11194	OSBPL3	ENSG00000070882.11	7	24796540	24981634	60100000	p
11195	OSBPL5	ENSG00000021762.18	11	3087107	3166739	53400000	p
11196	OSBPL6	ENSG00000079156.15	2	178194481	178402893	93900000	q
11197	OSBPL7	ENSG00000006025.10	17	47807372	47821834	25100000	q
11198	OSBPL8	ENSG00000091039.15	12	76351797	76559809	35500000	q
11199	OSBPL9	ENSG00000117859.17	1	51577179	51798427	123400000	p
11200	OSCAR	ENSG00000170909.12	19	54094668	54102692	26200000	q
11201	OSCP1	ENSG00000116885.17	1	36415827	36450451	123400000	p
11202	OSER1	ENSG00000132823.9	20	44195939	44210771	28100000	q
11203	OSGEP	ENSG00000092094.9	14	20446401	20455089	17200000	q
11204	OSGEPL1	ENSG00000128694.10	2	189746660	189763227	93900000	q
11205	OSGIN1	ENSG00000140961.11	16	83931311	83966332	36800000	q
11206	OSGIN2	ENSG00000164823.8	8	89901849	89927888	45200000	q
11207	OSM	ENSG00000099985.3	22	30262829	30266851	15000000	q
11208	OSMR	ENSG00000145623.11	5	38845858	38945596	48800000	p
11209	OSR1	ENSG00000143867.6	2	19351485	19358623	93900000	p
11210	OSR2	ENSG00000164920.8	8	98944403	98952104	45200000	q
11211	OST4	ENSG00000228474.4	2	27070472	27071654	93900000	p
11212	OSTC	ENSG00000198856.11	4	108650585	108667820	50000000	q
11213	OSTF1	ENSG00000134996.11	9	75088514	75147265	43000000	q
11214	OSTM1	ENSG00000081087.13	6	108041409	108165854	59800000	q
11215	OSTN	ENSG00000188729.5	3	191199241	191265615	90900000	q
11216	OTOA	ENSG00000155719.15	16	21663968	21761935	36800000	p
11217	OTOF	ENSG00000115155.15	2	26457203	26558756	93900000	p
11218	OTOG	ENSG00000188162.9	11	17547259	17647150	53400000	p
11219	OTOGL	ENSG00000165899.9	12	80099537	80380880	35500000	q
11220	OTOL1	ENSG00000182447.4	3	161496808	161503942	90900000	q
11221	OTOP1	ENSG00000163982.5	4	4188726	4226929	50000000	p
11222	OTOP2	ENSG00000183034.11	17	74922950	74933912	25100000	q
11223	OTOP3	ENSG00000182938.4	17	74935898	74949992	25100000	q
11224	OTOR	ENSG00000125879.4	20	16748358	16770062	28100000	p
11225	OTOS	ENSG00000178602.6	2	240139026	240144562	93900000	q
11226	OTP	ENSG00000171540.7	5	77628712	77638713	48800000	q
11227	OTUB1	ENSG00000167770.10	11	63985853	64001811	53400000	q
11228	OTUB2	ENSG00000089723.8	14	94026340	94048930	17200000	q
11229	OTUD1	ENSG00000165312.6	10	23439075	23442377	39800000	p
11230	OTUD3	ENSG00000169914.5	1	19882395	19912945	123400000	p
11231	OTUD4	ENSG00000164164.14	4	145110838	145180589	50000000	q
11232	OTUD6B	ENSG00000155100.9	8	91070196	91087095	45200000	q
11233	OTUD7A	ENSG00000169918.8	15	31475398	31870789	19000000	q
11234	OTUD7B	ENSG00000264522.4	1	149937812	150010726	123400000	q
11235	OTULIN	ENSG00000154124.4	5	14664664	14699850	48800000	p
11236	OTX1	ENSG00000115507.8	2	63050057	63057836	93900000	p
11237	OTX2	ENSG00000165588.15	14	56799905	56816693	17200000	q
11238	OVCA2	ENSG00000262664.2	17	2042022	2043425	25100000	p
11239	OVCH1	ENSG00000187950.7	12	29412474	29497686	35500000	p
11240	OVCH2	ENSG00000183378.10	11	7689437	7706477	53400000	p
11241	OVGP1	ENSG00000085465.12	1	111414319	111427735	123400000	p
11242	OVOL1	ENSG00000172818.8	11	65787063	65797214	53400000	q
11243	OVOL2	ENSG00000125850.9	20	17956979	18059188	28100000	p
11244	OVOL3	ENSG00000105261.6	19	36111151	36113711	26200000	q
11245	OXA1L	ENSG00000155463.11	14	22766522	22773042	17200000	q
11246	OXCT1	ENSG00000083720.11	5	41730065	41870425	48800000	p
11247	OXCT2	ENSG00000198754.5	1	39769523	39771348	123400000	p
11248	OXER1	ENSG00000162881.6	2	42762481	42764261	93900000	p
11249	OXGR1	ENSG00000165621.7	13	96985713	96994730	17700000	q
11250	OXLD1	ENSG00000204237.4	17	81665036	81666635	25100000	q
11251	OXNAD1	ENSG00000154814.12	3	16265160	16350299	90900000	p
11252	OXR1	ENSG00000164830.16	8	106270144	106752694	45200000	q
11253	OXSM	ENSG00000151093.6	3	25782917	25794534	90900000	p
11254	OXSR1	ENSG00000172939.7	3	38165089	38255484	90900000	p
11255	OXT	ENSG00000101405.3	20	3071620	3072517	28100000	p
11256	OXTR	ENSG00000180914.9	3	8750381	8769628	90900000	p
11257	P2RX1	ENSG00000108405.3	17	3896592	3916476	25100000	p
11258	P2RX2	ENSG00000187848.11	12	132618776	132622388	35500000	q
11259	P2RX3	ENSG00000109991.7	11	57338352	57372396	53400000	q
11260	P2RX4	ENSG00000135124.13	12	121209861	121234106	35500000	q
11261	P2RX5	ENSG00000083454.20	17	3672199	3696240	25100000	p
11262	P2RX5-TAX1BP3	ENSG00000257950.3	17	3663063	3696194	25100000	p
11263	P2RX6	ENSG00000099957.15	22	21009808	21028830	15000000	q
11264	P2RX7	ENSG00000089041.15	12	121132819	121188032	35500000	q
11265	P2RY1	ENSG00000169860.6	3	152835131	152841439	90900000	q
11266	P2RY11	ENSG00000244165.1	19	10111693	10115372	26200000	p
11267	P2RY12	ENSG00000169313.9	3	151336843	151384753	90900000	q
11268	P2RY13	ENSG00000181631.6	3	151326312	151329549	90900000	q
11269	P2RY14	ENSG00000174944.7	3	151212117	151278542	90900000	q
11270	P2RY2	ENSG00000175591.10	11	73218281	73242427	53400000	q
11271	P2RY6	ENSG00000171631.13	11	73264498	73305103	53400000	q
11272	P3H1	ENSG00000117385.14	1	42746335	42767084	123400000	p
11273	P3H2	ENSG00000090530.8	3	189956728	190122437	90900000	q
11274	P3H3	ENSG00000110811.18	12	6828407	6839847	35500000	p
11275	P3H4	ENSG00000141696.11	17	41801947	41812604	25100000	q
11276	P4HA1	ENSG00000122884.11	10	73007217	73096974	39800000	q
11277	P4HA2	ENSG00000072682.17	5	132190147	132295315	48800000	q
11278	P4HA3	ENSG00000149380.10	11	74235801	74311640	53400000	q
11279	P4HB	ENSG00000185624.13	17	81843159	81860856	25100000	q
11280	P4HTM	ENSG00000178467.16	3	48989889	49007153	90900000	p
11281	PA2G4	ENSG00000170515.12	12	56104537	56113910	35500000	q
11282	PAAF1	ENSG00000175575.11	11	73876699	73931114	53400000	q
11283	PABPC1	ENSG00000070756.12	8	100685816	100722809	45200000	q
11284	PABPC1L	ENSG00000101104.11	20	44910060	44959035	28100000	q
11285	PABPC3	ENSG00000151846.8	13	25096136	25099254	17700000	q
11286	PABPC4	ENSG00000090621.12	1	39560709	39576790	123400000	p
11287	PABPC4L	ENSG00000254535.3	4	134196333	134201789	50000000	q
11288	PABPN1	ENSG00000100836.9	14	23321457	23326163	17200000	q
11289	PABPN1L	ENSG00000205022.8	16	88863333	88866660	36800000	q
11290	PACRG	ENSG00000112530.10	6	162727132	163315492	59800000	q
11291	PACRGL	ENSG00000163138.17	4	20696282	20752907	50000000	p
11292	PACS1	ENSG00000175115.10	11	66070272	66244744	53400000	q
11293	PACS2	ENSG00000179364.12	14	105300563	105398147	17200000	q
11294	PACSIN1	ENSG00000124507.9	6	34466061	34535229	59800000	p
11295	PACSIN2	ENSG00000100266.16	22	42835412	43015149	15000000	q
11296	PACSIN3	ENSG00000165912.14	11	47177522	47186443	53400000	p
11297	PADI1	ENSG00000142623.9	1	17205128	17246007	123400000	p
11298	PADI2	ENSG00000117115.11	1	17066761	17119451	123400000	p
11299	PADI3	ENSG00000142619.4	1	17249098	17284233	123400000	p
11300	PADI4	ENSG00000159339.12	1	17308195	17364004	123400000	p
11301	PADI6	ENSG00000276747.1	1	17372196	17401699	123400000	p
11302	PAEP	ENSG00000122133.15	9	135561756	135566955	43000000	q
11303	PAF1	ENSG00000006712.13	19	39385629	39391154	26200000	q
11304	PAFAH1B1	ENSG00000007168.11	17	2593210	2685615	25100000	p
11305	PAFAH1B2	ENSG00000168092.12	11	117144284	117176894	53400000	q
11306	PAFAH1B3	ENSG00000079462.6	19	42297033	42303546	26200000	q
11307	PAFAH2	ENSG00000158006.12	1	25959767	25998117	123400000	p
11308	PAG1	ENSG00000076641.4	8	80967810	81112068	45200000	q
11309	PAGR1	ENSG00000280789.1	16	29816152	29822489	36800000	p
11310	PAGR1	ENSG00000280893.1	16	29812261	29820092	36800000	p
11311	PAH	ENSG00000171759.7	12	102836889	102958410	35500000	q
11312	PAICS	ENSG00000128050.7	4	56435741	56464578	50000000	q
11313	PAIP1	ENSG00000172239.12	5	43526267	43557758	48800000	p
11314	PAIP2	ENSG00000120727.11	5	139341587	139369720	48800000	q
11315	PAIP2B	ENSG00000124374.8	2	71182738	71227103	93900000	p
11316	PAK1	ENSG00000149269.8	11	77322017	77474635	53400000	q
11317	PAK1IP1	ENSG00000111845.4	6	10694972	10709782	59800000	p
11318	PAK2	ENSG00000180370.9	3	196739857	196832647	90900000	q
11319	PAK4	ENSG00000130669.16	19	39125770	39182816	26200000	q
11320	PAK6	ENSG00000137843.10	15	40217428	40277487	19000000	q
11321	PAK6	ENSG00000259288.4	15	40218500	40264890	19000000	q
11322	PAK7	ENSG00000101349.15	20	9537370	9839076	28100000	p
11323	PALB2	ENSG00000083093.8	16	23603160	23641310	36800000	p
11324	PALD1	ENSG00000107719.8	10	70478767	70568450	39800000	q
11325	PALLD	ENSG00000129116.16	4	168497052	168928457	50000000	q
11326	PALM	ENSG00000099864.16	19	708935	748329	26200000	p
11327	PALM2-AKAP2	ENSG00000157654.16	9	109498325	110172512	43000000	q
